drug_name,target_gene,mechanism_of_action,approval_status,indication,therapeutic_alignment,causal_tier,source_database
Belimumab (Benlysta),BLK (indirect - B cell pathway),Anti-BAFF monoclonal antibody; inhibits B cell survival and autoantibody production,FDA Approved (2011),SLE; Lupus Nephritis,Aligned - supports protective B cell regulation (BLK protective gene),Tier 1,FDA/OpenTargets
Anifrolumab (Saphnelo),IRF4 (indirect - IFN pathway),Type I interferon receptor (IFNAR1) antagonist; blocks IFN-alpha/beta signaling,FDA Approved (2021),Moderate-to-severe SLE,Aligned - IRF4 is protective/IFN signaling gene; blocking excess IFN is therapeutic,Tier 1,FDA/OpenTargets
Obinutuzumab (Gazyva),BLK (indirect - CD20 B cell),Anti-CD20 Type II monoclonal antibody; depletes B cells via ADCC,FDA Approved (2025),Lupus Nephritis,Partially aligned - B cell depletion modulates BLK-related pathways,Tier 1,FDA
Rituximab (Rituxan),BLK (indirect - CD20 B cell),Anti-CD20 monoclonal antibody; depletes CD20+ B cells,Off-label (not FDA approved for SLE),Refractory SLE (off-label),Partially aligned - B cell depletion relevant to BLK protective pathway,Tier 1,ClinicalTrials
Voclosporin (Lupkynis),Calcineurin pathway (indirect),Calcineurin inhibitor; suppresses T cell activation,FDA Approved (2021),Active Lupus Nephritis,Partially aligned - suppresses T cell activation relevant to HLA-DRB1/IL12RB2 risk,Tier 1,FDA
Deucravacitinib (Sotyktu),TYK2,Selective allosteric TYK2 inhibitor (JH2 domain); blocks IL-12/IL-23 and Type I IFN pathways,FDA Approved for psoriasis; Phase 3 for SLE,Psoriasis (approved); SLE (Phase 3 - POETYK SLE-1/SLE-2),Strongly aligned - TYK2 is Tier 2 risk gene; inhibition is therapeutic direction,Tier 2,ClinicalTrials/FDA
Iberdomide (CC-220),IKZF3,Cereblon modulator; promotes degradation of Ikaros/Aiolos (IKZF1/IKZF3) transcription factors,Phase 2 (SLE),SLE,Complex - IKZF3 is protective gene but iberdomide degrades it; may modulate B cell autoimmunity,Tier 1,ClinicalTrials/ChEMBL
Lenalidomide (Revlimid),IKZF3,Cereblon E3 ligase modulator; induces IKZF1/IKZF3 ubiquitination and proteasomal degradation,FDA Approved (multiple myeloma),Multiple Myeloma; MDS,Repurposing candidate - degrades IKZF3; complex alignment as IKZF3 is protective,Tier 1,DrugBank/ChEMBL
Dapirolizumab pegol,CD40 (CD40L inhibitor),Anti-CD40 ligand PEGylated Fab; blocks CD40-CD40L co-stimulation reducing B cell activation,Phase 3 (SLE),SLE,Aligned - CD40 is Tier 2 protective gene; modulating CD40L pathway reduces autoimmune activation,Tier 2,ClinicalTrials
Iscalimab,CD40,Anti-CD40 monoclonal antibody; blocks CD40 signaling,Phase 2 (Lupus Nephritis),Lupus Nephritis,Aligned - reduces proteinuria by blocking CD40-mediated B cell activation,Tier 2,ClinicalTrials
Baricitinib (Olumiant),GRB2 (indirect - JAK-STAT),JAK1/JAK2 inhibitor; blocks JAK-STAT signaling downstream of cytokine receptors,FDA Approved (RA); investigated in SLE,Rheumatoid Arthritis (approved); SLE (preclinical),Aligned - GRB2 is Tier 1 risk gene in JAK-STAT pathway; JAK inhibition is therapeutic,Tier 1,DrugBank/ClinicalTrials
Tofacitinib (Xeljanz),GRB2 (indirect - JAK-STAT),Pan-JAK inhibitor (JAK1/JAK3); blocks JAK-STAT signaling,FDA Approved (RA/UC/PsA),Rheumatoid Arthritis; UC; PsA,Repurposing candidate - inhibits JAK-STAT pathway where GRB2 is risk driver,Tier 1,DrugBank
Tipifarnib,HRAS,Farnesyltransferase inhibitor; prevents HRAS membrane localization and MAPK activation,Investigational (HRAS-mutant cancers),HRAS-mutant HNSCC,Repurposing candidate - HRAS is Tier 1 risk gene; farnesylation blockade could reduce MAPK signaling,Tier 1,ChEMBL/DrugBank
Lonafarnib,HRAS,Farnesyltransferase inhibitor; blocks Ras prenylation and MAPK pathway,FDA Approved (progeria),Hutchinson-Gilford progeria,Repurposing candidate - inhibits HRAS/MAPK; shown anti-inflammatory properties,Tier 1,DrugBank
Clozapine,DRD4,Atypical antipsychotic; non-selective dopamine receptor antagonist including D4,FDA Approved,Schizophrenia,Repurposing candidate - DRD4 is Tier 1 risk gene; D4 antagonism may reduce MAPK cascade,Tier 1,DrugBank
L-745870,DRD4,Selective DRD4 antagonist,Investigational,Research tool compound,Repurposing candidate - selective DRD4 blockade; DRD4 is risk gene in MAPK cascade,Tier 1,ChEMBL
RWJ-445380,CTSS,Selective cathepsin S inhibitor; blocks MHC class II antigen processing,Phase 2 (completed),Rheumatoid Arthritis; Psoriasis,Strongly aligned - CTSS is Tier 1 risk gene; cathepsin S inhibition reduces neutrophil degranulation,Tier 1,ClinicalTrials/ChEMBL
RO5459072,CTSS,Selective cathepsin S inhibitor,Phase 2,Psoriasis; Sjogren syndrome,Strongly aligned - CTSS inhibition blocks MHC class II processing relevant to SLE,Tier 1,ClinicalTrials/ChEMBL
ASP1617,CTSS,Potent selective cathepsin S inhibitor for autoimmune diseases,Phase 1 (completed),Autoimmune diseases including SLE,Strongly aligned - designed for autoimmune indications targeting CTSS,Tier 1,ClinicalTrials
Efalizumab (Raptiva),ICAM1 (indirect - LFA-1/ICAM1),Anti-LFA-1 antibody; blocks LFA-1/ICAM1 interaction,Withdrawn (2009 - PML risk),Psoriasis (was approved),Aligned - ICAM1 is Tier 1 gene (protective but upregulated); blocking adhesion reduces inflammation,Tier 1,FDA/DrugBank
Lifitegrast (Xiidra),ICAM1 (indirect - LFA-1/ICAM1),LFA-1 antagonist; blocks ICAM1-mediated T cell adhesion and activation,FDA Approved,Dry Eye Disease,Repurposing candidate - blocks ICAM1 pathway; relevant to interferon signaling in SLE,Tier 1,FDA/DrugBank
Alemtuzumab (Lemtrada),CD52,Anti-CD52 monoclonal antibody; depletes T and B lymphocytes,FDA Approved,Multiple Sclerosis (RRMS),Repurposing candidate - CD52 is Tier 2 gene; lymphocyte depletion may benefit SLE,Tier 2,FDA/DrugBank
Baminercept,LTBR,Lymphotoxin beta receptor fusion protein; blocks LTbR signaling,Phase 2 (completed - Sjogren),Sjogren syndrome,Partially aligned - LTBR is Tier 1 protective gene; modulating pathway showed IFN signature reduction,Tier 1,ClinicalTrials
Atacicept,BLK (indirect - BAFF/APRIL),TACI-Fc fusion protein; blocks both BAFF and APRIL cytokines,Phase 2b (SLE),SLE,Aligned - dual BAFF/APRIL blockade modulates B cell pathways related to BLK,Tier 1,ClinicalTrials
Telitacicept,BLK (indirect - BAFF/APRIL),Dual BLyS and APRIL inhibitor; TACI-Fc fusion protein,Phase 3 (SLE - positive results),SLE,Strongly aligned - 67% vs 33% SRI-4 response; modulates B cell autoimmunity,Tier 1,ClinicalTrials
Eculizumab (Soliris),C4B (indirect - complement C5),Anti-C5 monoclonal antibody; blocks terminal complement activation,FDA Approved (PNH/aHUS),PNH; aHUS; gMG,Repurposing candidate - C4B is Tier 1 complement risk gene; complement blockade is therapeutic,Tier 1,FDA/DrugBank
Ravulizumab (Ultomiris),C4B (indirect - complement C5),Long-acting anti-C5 antibody; blocks complement MAC formation,FDA Approved (PNH); Phase 2 (LN),PNH; aHUS; Lupus Nephritis (Phase 2 - SANCTUARY),Aligned - complement inhibition for lupus nephritis; C4B/complement is Tier 1 risk pathway,Tier 1,FDA/ClinicalTrials
Avacopan (Tavneos),C3AR1 (indirect - C5aR),Oral C5a receptor antagonist; blocks complement-mediated inflammation,FDA Approved (ANCA vasculitis),ANCA-associated vasculitis,Repurposing candidate - C3AR1 is Tier 2 risk gene; complement receptor blockade is therapeutic,Tier 2,FDA/DrugBank
FT819 (CAR-T),BLK/IKZF3 (indirect - CD19 B cell),iPSC-derived off-the-shelf anti-CD19 CAR T-cell therapy; eliminates autoreactive B cells,Investigational (pivotal study planned 2026),SLE,Aligned - eliminates autoreactive B cells relevant to BLK/IKZF3 pathways,Tier 1,ClinicalTrials
Low-dose IL-2,IL12RB2 (indirect - T cell regulation),Recombinant IL-2; expands regulatory T cells to suppress autoimmunity,Phase 2 (SLE - LUPIL-2),SLE,Partially aligned - IL12RB2 is Tier 1 risk gene in T cell activation; Treg expansion counteracts,Tier 1,ClinicalTrials
BIIB023,TNFSF12 (TWEAK pathway),Anti-TWEAK neutralizing antibody; blocks TWEAK/Fn14 signaling,Phase 2 (Lupus Nephritis),Lupus Nephritis,Aligned - TNFSF12 is Tier 2 risk gene; TWEAK blockade is renoprotective in lupus,Tier 2,ClinicalTrials
Sirolimus (Rapamycin),HRAS (indirect - mTOR/MAPK),mTOR inhibitor; blocks mTOR signaling downstream of Ras/MAPK pathway,FDA Approved (transplant); investigated in SLE,Organ transplant rejection; SLE (guidelines 2025),Partially aligned - HRAS is Tier 1 risk gene; mTOR inhibition modulates downstream signaling,Tier 1,FDA/ClinicalTrials
